Date,bitcoin,ethereum,ripple,litecoin,stellar,monero
"Mar 04, 2018",11512.6,866.68,1.01,213.8,0.36193000000000003,368.97
"Mar 03, 2018",11489.7,857.23,0.907804,210.64,0.350168,352.95
"Mar 02, 2018",11086.4,856.85,0.9101440000000001,212.56,0.32010700000000003,344.73
"Mar 01, 2018",10951.0,872.2,0.9283469999999999,209.75,0.339314,314.04
"Feb 28, 2018",10397.9,855.2,0.904583,202.9,0.333916,285.7
"Feb 27, 2018",10725.6,878.26,0.947305,216.6,0.362051,302.54
"Feb 26, 2018",10366.7,869.32,0.956859,220.96,0.364579,293.61
"Feb 25, 2018",9664.73,844.81,0.9434870000000001,220.47,0.357302,281.02
"Feb 24, 2018",9813.07,840.51,0.9544020000000001,209.42,0.355163,273.79
"Feb 23, 2018",10301.1,864.19,0.9988549999999999,209.31,0.38198499999999996,285.71
"Feb 22, 2018",10005.0,812.85,0.941788,195.31,0.36644699999999997,282.76
"Feb 21, 2018",10690.4,849.97,1.02,213.35,0.39676500000000003,322.61
"Feb 20, 2018",11403.7,895.37,1.09,232.85,0.402289,304.4
"Feb 19, 2018",11225.3,943.87,1.14,223.06,0.45293199999999995,316.49
"Feb 18, 2018",10551.8,923.92,1.12,215.74,0.450399,300.12
"Feb 17, 2018",11112.7,974.12,1.2,229.47,0.479075,325.67
"Feb 16, 2018",10233.9,944.21,1.14,230.12,0.455446,296.48
"Feb 15, 2018",10166.4,936.98,1.15,225.43,0.453556,303.25
"Feb 14, 2018",9494.63,923.56,1.14,213.36,0.453888,276.66
"Feb 13, 2018",8598.31,845.26,1.03,159.55,0.41061400000000003,234.69
"Feb 12, 2018",8926.57,868.71,1.08,161.57,0.395649,247.57
"Feb 11, 2018",8129.97,814.66,1.0,148.99,0.37000500000000003,229.49
"Feb 10, 2018",8621.9,860.41,1.07,155.59,0.406856,250.03
"Feb 09, 2018",8736.98,883.87,0.954428,163.95,0.401068,260.43
"Feb 08, 2018",8265.59,817.81,0.8052630000000001,149.47,0.363565,247.22
"Feb 07, 2018",7621.3,757.07,0.723895,138.2,0.342125,207.28
"Feb 06, 2018",7754.0,793.12,0.776393,142.99,0.370811,212.29
"Feb 05, 2018",6955.27,697.95,0.6917989999999999,125.33,0.331192,179.49
"Feb 04, 2018",8277.01,834.68,0.815703,148.03,0.377231,221.05
"Feb 03, 2018",9174.91,964.02,0.9240430000000001,160.25,0.43005600000000005,251.59
"Feb 02, 2018",8830.75,915.78,0.884784,131.38,0.405075,235.63
"Feb 01, 2018",9170.54,1036.79,0.9625299999999999,142.3,0.456455,240.97
"Jan 31, 2018",10221.1,1118.31,1.16,163.35,0.539797,272.89
"Jan 30, 2018",10106.3,1071.13,1.14,165.28,0.48964799999999997,274.02
"Jan 29, 2018",11296.4,1182.36,1.32,181.66,0.589283,316.63
"Jan 28, 2018",11786.3,1246.01,1.4,193.87,0.634421,332.17
"Jan 27, 2018",11440.7,1107.07,1.22,180.89,0.613061,321.36
"Jan 26, 2018",11171.4,1055.17,1.22,176.73,0.633916,323.69
"Jan 25, 2018",11259.4,1056.03,1.31,180.27,0.6082529999999999,317.1
"Jan 24, 2018",11359.4,1058.78,1.36,179.99,0.567014,317.4
"Jan 23, 2018",10868.4,986.23,1.34,177.81,0.48618500000000003,308.46
"Jan 22, 2018",10931.4,1003.26,1.36,180.01,0.486338,315.9
"Jan 21, 2018",11600.1,1049.58,1.38,190.42,0.464117,345.08
"Jan 20, 2018",12899.2,1155.15,1.58,211.02,0.5346770000000001,383.79
"Jan 19, 2018",11607.4,1039.1,1.55,192.96,0.506232,364.62
"Jan 18, 2018",11474.9,1036.28,1.6,192.84,0.509523,316.47
"Jan 17, 2018",11188.6,1014.25,1.31,186.52,0.477187,319.19
"Jan 16, 2018",11490.5,1053.69,1.18,188.33,0.441197,320.04
"Jan 15, 2018",13819.8,1291.92,1.68,232.77,0.599271,414.57
"Jan 14, 2018",13772.0,1366.77,1.86,238.68,0.6308560000000001,399.52
"Jan 13, 2018",14360.2,1396.42,2.02,259.19,0.671564,420.05
"Jan 12, 2018",13980.6,1273.2,2.04,236.86,0.67796,394.78
"Jan 11, 2018",13405.8,1154.93,1.95,229.37,0.558126,355.59
"Jan 10, 2018",14973.3,1255.82,1.97,250.52,0.56693,407.74
"Jan 09, 2018",14595.4,1299.74,2.1,247.04,0.585653,413.33
"Jan 08, 2018",15170.1,1148.53,2.46,255.76,0.629323,405.07
"Jan 07, 2018",16477.6,1153.17,3.38,288.45,0.699645,459.33
"Jan 06, 2018",17527.0,1041.68,3.09,296.45,0.7099449999999999,452.77
"Jan 05, 2018",17429.5,997.72,3.05,249.27,0.662712,384.94
"Jan 04, 2018",15599.2,980.92,3.2,241.37,0.72405,403.05
"Jan 03, 2018",15201.0,962.72,3.11,245.37,0.896227,412.06
"Jan 02, 2018",14982.1,884.44,2.48,255.68,0.564766,383.42
"Jan 01, 2018",13657.2,772.64,2.39,229.03,0.480008,358.99
"Dec 31, 2017",14156.4,756.73,2.3,232.1,0.360756,349.03
"Dec 30, 2017",12952.2,717.26,2.16,218.96,0.323202,330.8
"Dec 29, 2017",14656.2,753.59,2.21,245.5,0.322941,377.37
"Dec 28, 2017",14606.5,737.02,1.43,249.93,0.223544,378.9
"Dec 27, 2017",15838.5,762.84,1.4,272.17,0.22922399999999998,421.85
"Dec 26, 2017",16099.8,773.84,1.19,286.5,0.226018,381.54
"Dec 25, 2017",14026.6,765.83,1.12,273.39,0.22851100000000002,360.78
"Dec 24, 2017",13925.8,694.15,1.04,275.98,0.22445,337.06
"Dec 23, 2017",14699.2,719.39,1.17,288.27,0.234179,382.04
"Dec 22, 2017",13831.8,674.86,1.14,264.93,0.21671700000000002,346.11
"Dec 21, 2017",15802.9,821.06,1.19,317.46,0.2572,417.98
"Dec 20, 2017",16624.6,819.09,0.775964,314.62,0.252386,469.2
"Dec 19, 2017",17776.7,826.82,0.791257,350.25,0.26431,377.24
"Dec 18, 2017",19114.2,794.64,0.778407,358.34,0.276283,381.51
"Dec 17, 2017",19140.8,719.98,0.728366,318.72,0.266621,351.37
"Dec 16, 2017",19497.4,696.21,0.758642,298.97,0.232125,327.32
"Dec 15, 2017",17706.9,684.45,0.756181,299.78,0.19586199999999998,312.32
"Dec 14, 2017",16564.0,695.82,0.8642629999999999,279.33,0.188907,325.21
"Dec 13, 2017",16408.2,702.77,0.471063,302.6,0.149342,305.75
"Dec 12, 2017",17415.4,651.43,0.373541,316.16,0.156444,308.07
"Dec 11, 2017",16936.8,515.14,0.251691,214.2,0.144956,279.67
"Dec 10, 2017",15455.4,441.72,0.237333,148.66,0.11926300000000001,245.33
"Dec 09, 2017",15178.2,473.5,0.24470799999999998,155.24,0.135122,262.53
"Dec 08, 2017",16569.4,456.03,0.252125,124.85,0.13726,276.74
"Dec 07, 2017",17899.7,434.41,0.222823,98.29,0.133046,280.86
"Dec 06, 2017",14291.5,428.59,0.232544,100.35,0.151622,278.69
"Dec 05, 2017",11916.7,463.28,0.24610100000000001,102.4,0.12352300000000001,269.48
"Dec 04, 2017",11657.2,470.2,0.253571,104.24,0.09761,210.24
"Dec 03, 2017",11323.2,465.85,0.252558,101.26,0.089035,200.05
"Dec 02, 2017",11074.6,463.45,0.255492,100.28,0.093816,203.03
"Dec 01, 2017",10975.6,466.54,0.25569899999999995,99.0,0.089883,190.94
"Nov 30, 2017",10233.6,447.11,0.25087800000000005,88.33,0.072871,180.14
"Nov 29, 2017",9888.61,427.52,0.24306399999999997,85.57,0.064424,168.15
"Nov 28, 2017",10058.8,472.9,0.299152,96.03,0.081415,203.21
"Nov 27, 2017",9818.35,480.36,0.253927,91.6,0.05984299999999999,173.39
"Nov 26, 2017",9330.55,471.33,0.24881799999999998,85.93,0.048895999999999995,163.37
"Nov 25, 2017",8790.92,466.28,0.252393,88.82,0.043639,168.44
"Nov 24, 2017",8253.69,474.91,0.244642,77.97,0.040193,160.03
"Nov 23, 2017",8038.77,410.17,0.242402,73.22,0.040535,158.61
"Nov 22, 2017",8253.55,380.65,0.23885900000000002,71.89,0.042299,165.95
"Nov 21, 2017",8071.26,360.4,0.233271,70.03,0.037668,141.74
"Nov 20, 2017",8200.64,366.73,0.23875900000000003,72.25,0.038120999999999995,135.76
"Nov 19, 2017",8036.49,354.39,0.231016,71.59,0.036566,129.48
"Nov 18, 2017",7790.15,347.61,0.228627,69.64,0.036583,130.8
"Nov 17, 2017",7708.99,332.39,0.226581,67.57,0.035572,126.7
"Nov 16, 2017",7871.69,330.92,0.227107,71.06,0.037233999999999996,120.31
"Nov 15, 2017",7315.54,333.36,0.212956,63.82,0.037052999999999996,121.37
"Nov 14, 2017",6635.75,337.63,0.209825,62.68,0.036374000000000004,122.35
"Nov 13, 2017",6559.49,316.72,0.203442,61.4,0.030656,123.4
"Nov 12, 2017",5950.07,307.91,0.19733900000000001,59.01,0.028182,123.86
"Nov 11, 2017",6357.6,314.68,0.21043,62.3,0.033053,119.62
"Nov 10, 2017",6618.14,299.25,0.206483,59.26,0.033073000000000005,105.59
"Nov 09, 2017",7143.58,320.88,0.21748800000000001,64.27,0.039945999999999995,120.78
"Nov 08, 2017",7459.69,309.07,0.217437,62.57,0.033763,113.31
"Nov 07, 2017",7144.38,294.66,0.21035399999999999,61.3,0.030699,99.76
"Nov 06, 2017",7022.76,298.89,0.20599,55.17,0.02888,102.92
"Nov 05, 2017",7407.41,296.26,0.20205499999999998,54.75,0.026764999999999997,86.35
"Nov 04, 2017",7379.95,300.47,0.20375,55.04,0.027294,87.3
"Nov 03, 2017",7207.76,305.71,0.20813299999999998,56.18,0.027779,87.99
"Nov 02, 2017",7078.5,287.43,0.20586100000000002,54.74,0.027607,83.76
"Nov 01, 2017",6767.31,291.69,0.194124,53.18,0.027353,85.72
"Oct 31, 2017",6468.4,305.88,0.200558,55.75,0.029182,87.64
"Oct 30, 2017",6130.53,307.75,0.202711,56.39,0.031804,88.84
"Oct 29, 2017",6153.85,305.09,0.202785,57.11,0.030331,88.65
"Oct 28, 2017",5753.09,296.3,0.201835,54.69,0.031038,86.31
"Oct 27, 2017",5780.9,297.42,0.202785,55.33,0.034236,86.75
"Oct 26, 2017",5904.83,296.53,0.203628,55.74,0.034546,88.58
"Oct 25, 2017",5750.8,297.93,0.204604,56.49,0.035004,88.13
"Oct 24, 2017",5526.64,298.33,0.206644,55.96,0.036649,88.4
"Oct 23, 2017",5930.32,286.95,0.196928,54.92,0.033832,85.21
"Oct 22, 2017",6008.42,295.45,0.204177,56.81,0.031269,86.58
"Oct 21, 2017",6031.6,300.19,0.21101599999999998,58.2,0.036429,88.12
"Oct 20, 2017",6011.45,304.01,0.210549,60.33,0.026756,90.54
"Oct 19, 2017",5708.52,308.09,0.21515,59.74,0.031195,88.62
"Oct 18, 2017",5590.69,314.32,0.21852,60.73,0.035133,89.54
"Oct 17, 2017",5605.51,317.08,0.232064,59.48,0.045842,91.28
"Oct 16, 2017",5725.59,333.38,0.256232,64.62,0.036864999999999995,95.9
"Oct 15, 2017",5678.19,336.6,0.26398299999999997,65.47,0.018925,94.87
"Oct 14, 2017",5831.79,339.63,0.25732,63.95,0.017522,100.23
"Oct 13, 2017",5647.21,338.76,0.26048899999999997,59.43,0.01796,95.13
"Oct 12, 2017",5446.91,304.14,0.248414,60.11,0.017784,87.09
"Oct 11, 2017",4826.48,303.46,0.264439,50.89,0.01945,87.42
"Oct 10, 2017",4781.99,299.87,0.260733,50.72,0.018953,86.82
"Oct 09, 2017",4772.02,297.39,0.251825,50.16,0.017601,85.49
"Oct 08, 2017",4610.48,308.61,0.279944,53.14,0.018598,89.77
"Oct 07, 2017",4426.89,311.12,0.23861,52.58,0.020959000000000002,91.7
"Oct 06, 2017",4370.81,308.59,0.234039,52.12,0.018403,91.19
"Oct 05, 2017",4328.41,295.86,0.23701599999999998,51.67,0.014575999999999999,91.86
"Oct 04, 2017",4229.36,292.66,0.21477399999999996,51.4,0.011851,90.41
"Oct 03, 2017",4317.48,292.46,0.203318,52.35,0.012403,92.96
"Oct 02, 2017",4409.32,297.48,0.202676,53.38,0.012962000000000001,91.54
"Oct 01, 2017",4403.74,302.34,0.20653200000000002,54.54,0.013687999999999999,93.22
"Sep 30, 2017",4338.71,301.46,0.197529,55.14,0.013858,95.76
"Sep 29, 2017",4163.07,291.47,0.193606,52.62,0.013203999999999999,94.5
"Sep 28, 2017",4174.73,299.15,0.196131,54.09,0.013863,97.23
"Sep 27, 2017",4200.67,306.47,0.203299,56.28,0.014378,101.04
"Sep 26, 2017",3892.35,287.44,0.186119,51.55,0.012388,93.13
"Sep 25, 2017",3926.07,292.33,0.18148699999999998,51.58,0.012073,93.64
"Sep 24, 2017",3682.84,282.48,0.175787,47.62,0.011563,89.5
"Sep 23, 2017",3792.4,286.17,0.17788199999999998,49.27,0.011895999999999999,91.85
"Sep 22, 2017",3630.7,264.31,0.17351,48.09,0.010776,88.17
